date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-06-22,186.12,186.15,184.70,184.92,27200447,-0.54,-0.29%,184.92,5039998405.88,124482
2018-06-21,187.25,188.35,184.94,185.46,25711898,-1.04,-0.56%,185.46,4786413439.36,157835
2018-06-20,186.35,187.20,185.73,186.50,20628701,0.81,0.44%,186.50,3847339335.79,145670
2018-06-19,185.14,186.33,183.45,185.69,33578455,-3.05,-1.62%,185.69,6217497838.91,232341
2018-06-18,187.88,189.22,187.20,188.74,18484865,-0.10,-0.05%,188.74,3486269532.35,134391
2018-06-15,190.03,190.16,188.26,188.84,61719160,-1.96,-1.03%,188.84,11669824888.98,210548
2018-06-14,191.55,191.57,190.22,190.80,21610074,0.10,0.05%,190.80,4125204876.03,143598
2018-06-13,192.42,192.88,190.44,190.70,21638393,-1.58,-0.82%,190.70,4145358369.22,138320
2018-06-12,191.385,192.611,191.15,192.28,16911141,1.05,0.55%,192.28,3243376841.62,118184
2018-06-11,191.35,191.97,190.21,191.23,18308460,-0.47,-0.25%,191.23,3500337326.70,132601
2018-06-08,191.17,192.00,189.77,191.70,26656799,-1.76,-0.91%,191.70,5090023456.56,176202
2018-06-07,194.14,194.20,192.335,193.46,21347180,-0.52,-0.27%,193.46,4126191042.71,142645
2018-06-06,193.63,194.08,191.92,193.98,20933619,0.67,0.35%,193.98,4045388105.82,132990
2018-06-05,193.065,193.94,192.36,193.31,21565963,1.48,0.77%,193.31,4166497145.63,149332
2018-06-04,191.635,193.42,191.35,191.83,26266174,1.59,0.84%,191.83,5049504268.25,181278
2018-06-01,187.9912,190.26,187.75,190.24,23442510,3.37,1.80%,190.24,4442209762.26,160825
2018-05-31,187.22,188.23,186.14,186.87,27482793,-0.63,-0.34%,186.87,5142663526.51,151559
2018-05-30,187.72,188.00,186.78,187.50,18690547,-0.40,-0.21%,187.50,3500362726.43,132234
2018-05-29,187.60,188.75,186.87,187.90,22514075,-0.68,-0.36%,187.90,4225303967.46,161045
2018-05-25,188.23,189.65,187.65,188.58,17460963,0.43,0.23%,188.58,3297883790.92,122854
2018-05-24,188.77,188.84,186.21,188.15,23233975,-0.21,-0.11%,188.15,4362792090.25,132054
2018-05-23,186.35,188.50,185.76,188.36,20058415,1.20,0.64%,188.36,3752331605.44,137623
2018-05-22,188.375,188.88,186.78,187.16,15240704,-0.47,-0.25%,187.16,2858922780.94,104401
2018-05-21,188.00,189.27,186.9106,187.63,18400787,1.32,0.71%,187.63,3460775728.27,129167
2018-05-18,187.19,187.8102,186.13,186.31,18297728,-0.68,-0.36%,186.31,3420475097.81,116592
2018-05-17,188.00,188.91,186.36,186.99,17294029,-1.19,-0.63%,186.99,3244282726.32,116033
2018-05-16,186.07,188.46,186.00,188.18,19183064,1.74,0.93%,188.18,3599714313.49,126071
2018-05-15,186.78,187.07,185.10,186.44,23695159,-1.71,-0.91%,186.44,4409810407.83,171235
2018-05-14,189.01,189.53,187.86,188.15,20778772,-0.44,-0.23%,188.15,3920087219.80,127761
2018-05-11,189.49,190.06,187.45,188.59,26212221,-0.72,-0.38%,188.59,4947507094.02,157659
2018-05-10,187.74,190.37,187.65,190.04,27989289,2.67,1.43%,189.3101,5299265098.08,185513
2018-05-09,186.55,187.40,185.22,187.36,23211241,1.305,0.70%,186.6404,4326938810.43,161106
2018-05-08,184.99,186.22,183.665,186.05,28402777,0.887,0.48%,185.3354,5260952938.57,180010
2018-05-07,185.18,187.67,184.75,185.16,42451423,1.325,0.72%,184.4488,7905891646.11,267447
2018-05-04,178.25,184.25,178.17,183.83,56201317,6.913,3.92%,183.1239,10260486619.89,370771
2018-05-03,175.88,177.50,174.4411,176.89,34068180,0.319,0.18%,176.2106,5998725441.01,246062
2018-05-02,175.225,177.75,173.80,176.57,66539371,7.441,4.42%,175.8918,11717105480.42,437601
2018-05-01,166.4102,169.20,165.27,169.10,53569376,3.825,2.32%,168.4505,8980133630.28,353863
2018-04-30,162.1302,167.26,161.84,165.26,42427424,2.929,1.81%,164.6252,7023857667.26,264805
2018-04-27,164.00,164.33,160.63,162.32,35655839,-1.893,-1.16%,161.6965,5785546850.57,253204
2018-04-26,164.12,165.73,163.37,164.22,27963014,0.568,0.35%,163.5892,4597480895.59,195096
2018-04-25,162.62,165.42,162.41,163.65,28382084,0.707,0.44%,163.0214,4660847849.88,204097
2018-04-24,165.67,166.33,161.2201,162.94,33692017,-2.291,-1.39%,162.3141,5512059768.65,258898
2018-04-23,166.8348,166.92,164.09,165.24,36515477,-0.478,-0.29%,164.6053,6046306881.11,238211
2018-04-20,170.595,171.2184,165.43,165.72,65491140,-7.053,-4.10%,165.0835,10940751148.28,402200
2018-04-19,174.95,175.39,172.66,172.80,34808800,-5.021,-2.83%,172.1363,6043657989.37,230448
2018-04-18,177.81,178.82,176.88,177.84,20754538,-0.398,-0.22%,177.1569,3692994811.17,136338
2018-04-17,176.49,178.9365,176.41,178.24,26605442,2.411,1.38%,177.5554,4734826178.22,168081
2018-04-16,175.0301,176.19,174.8301,175.82,21578420,1.086,0.62%,175.1447,3789828736.97,155498
2018-04-13,174.78,175.84,173.85,174.73,25124255,0.588,0.34%,174.0589,4393624318.15,156694
2018-04-12,173.41,175.00,173.04,174.14,22889285,1.693,0.99%,173.4711,3990959160.76,151617
2018-04-11,172.23,173.9232,171.70,172.44,22431640,-0.807,-0.47%,171.7777,3874855603.10,157149
2018-04-10,173.00,174.00,171.53,173.25,28614241,3.188,1.88%,172.5845,4950592585.09,202124
2018-04-09,169.88,173.09,169.845,170.05,29017718,1.664,0.99%,169.3968,4978135801.22,199535
2018-04-06,170.97,172.48,168.20,168.38,35005290,-4.403,-2.56%,167.7333,5945869914.96,251952
2018-04-05,172.58,174.2304,172.08,172.80,26933197,1.185,0.69%,172.1363,4665819488.46,189685
2018-04-04,164.88,172.01,164.77,171.61,34605489,3.208,1.91%,170.9508,5854467485.28,240829
2018-04-03,167.64,168.7455,164.88,168.39,30278046,1.703,1.03%,167.7432,5053415990.27,208592
2018-04-02,167.88,168.94,164.47,166.68,37586791,-1.096,-0.66%,166.0398,6252058756.74,291907
2018-03-29,167.805,171.75,166.90,167.78,38398505,1.295,0.78%,167.1356,6497364415.26,219100
2018-03-28,167.25,170.02,165.19,166.48,41668545,-1.853,-1.10%,165.8406,6966573747.32,305623
2018-03-27,173.68,175.15,166.92,168.34,40922579,-4.413,-2.56%,167.6934,7019766143.72,276951
2018-03-26,168.07,173.10,166.44,172.77,37541236,7.80,4.75%,172.1064,6383519803.26,232076
2018-03-23,168.39,169.92,164.94,164.94,41028784,-3.895,-2.32%,164.3065,6875627583.53,284669
2018-03-22,170.00,172.68,168.60,168.85,41490767,-2.411,-1.41%,168.2014,7060358642.75,289764
2018-03-21,175.04,175.09,171.26,171.27,37054935,-3.955,-2.27%,170.6122,6415684516.63,238351
2018-03-20,175.24,176.80,174.94,175.24,19649350,-0.06,-0.03%,174.5669,3453049067.87,135304
2018-03-19,177.32,177.47,173.66,175.30,33446771,-2.71,-1.53%,174.6267,5860883167.60,245572
2018-03-16,178.65,179.12,177.62,178.02,39404688,-0.628,-0.35%,177.3362,7027364242.45,142734
2018-03-15,178.50,180.24,178.0701,178.65,22743798,0.209,0.12%,177.9638,4072556666.90,151399
2018-03-14,180.32,180.52,177.81,178.44,29368356,-1.524,-0.85%,177.7546,5249942178.65,211947
2018-03-13,182.59,183.50,179.24,179.97,31693529,-1.743,-0.96%,179.2787,5755102139.49,216672
2018-03-12,180.29,182.39,180.21,181.72,32207081,1.733,0.97%,181.022,5850643001.50,195343
2018-03-09,177.96,180.00,177.39,179.98,32185162,3.028,1.72%,179.2887,5765825748.22,204162
2018-03-08,175.48,177.12,175.07,176.94,23774107,1.903,1.09%,176.2604,4188726533.48,156528
2018-03-07,174.94,175.85,174.27,175.03,31703462,-1.634,-0.93%,174.3577,5550274271.69,206267
2018-03-06,177.91,178.25,176.13,176.67,23788506,-0.149,-0.08%,175.9914,4211620415.72,167013
2018-03-05,175.21,177.74,174.52,176.82,28401366,0.608,0.35%,176.1408,5013444372.42,183246
2018-03-02,172.80,176.30,172.45,176.21,38453950,1.205,0.69%,175.5332,6720516626.56,249160
2018-03-01,178.54,179.775,172.66,175.00,48801970,-3.108,-1.75%,174.3278,8593484922.32,345194
2018-02-28,179.26,180.615,178.05,178.12,37782138,-0.269,-0.15%,177.4358,6776426468.94,195756
2018-02-27,179.10,180.48,178.16,178.39,38928125,-0.578,-0.32%,177.7048,6979569161.37,259222
2018-02-26,176.35,179.39,176.21,178.97,38162174,3.457,1.98%,178.2826,6807044219.64,248928
2018-02-23,173.67,175.65,173.54,175.50,33812360,2.988,1.74%,174.8259,5905614117.94,215226
2018-02-22,171.80,173.95,171.71,172.50,30991940,1.425,0.84%,171.8374,5359699770.65,213689
2018-02-21,172.83,174.12,171.01,171.07,37471623,-0.777,-0.45%,170.4129,6481469553.10,246559
2018-02-20,172.05,174.26,171.42,171.85,33930540,-0.578,-0.34%,171.1899,5868243597.63,232826
2018-02-16,172.36,174.82,171.77,172.43,40176091,-0.558,-0.32%,171.7677,6968445155.17,255882
2018-02-15,169.79,173.09,169.00,172.99,51147171,5.598,3.36%,172.3255,8771286611.42,332581
2018-02-14,163.045,167.54,162.88,167.37,40644933,3.018,1.84%,166.7271,6730420061.78,270798
2018-02-13,161.95,164.75,161.65,164.34,32549163,1.624,1.00%,163.7088,5316866944.90,219160
2018-02-12,158.50,163.89,157.51,162.71,60819539,6.276,4.03%,162.085,9821337490.24,362868
2018-02-09,157.07,157.89,150.24,156.41,70672608,1.883,1.22%,155.8092,10944003319.55,442048
2018-02-08,160.29,161.00,155.03,155.15,54390516,-4.355,-2.75%,153.9264,8648089270.08,366254
2018-02-07,163.085,163.40,159.0685,159.54,51608580,-3.462,-2.14%,158.2818,8313000862.64,341993
2018-02-06,154.83,163.72,154.00,163.03,68243838,6.488,4.18%,161.7443,10892210630.19,507004
2018-02-05,159.10,163.88,156.00,156.49,72738522,-3.978,-2.50%,155.2559,11677323176.18,528531
2018-02-02,166.00,166.80,160.10,160.50,86593825,-7.223,-4.34%,159.2342,14091238309.32,604136
2018-02-01,167.165,168.62,166.76,167.78,47230787,0.347,0.21%,166.4568,7915977999.54,309299
2018-01-31,166.87,168.4417,166.50,167.43,32478930,0.456,0.28%,166.1096,5435185111.78,225338
2018-01-30,165.525,167.37,164.70,166.97,46048185,-0.982,-0.59%,165.6532,7653850857.33,310900
2018-01-29,170.16,170.16,167.07,167.96,50640406,-3.522,-2.07%,166.6354,8523646078.18,336856
2018-01-26,172.00,172.00,170.06,171.51,39143011,0.397,0.23%,170.1574,6695017117.71,243621
2018-01-25,174.505,174.95,170.53,171.11,41529004,-3.085,-1.79%,169.7606,7154021117.09,293744
2018-01-24,177.25,177.30,173.20,174.22,51105090,-2.798,-1.59%,172.846,8933749825.88,326254
2018-01-23,177.30,179.44,176.82,177.04,32689146,0.04,0.02%,175.6438,5817958470.09,211200
2018-01-22,177.30,177.78,176.6016,177.00,27108551,-1.448,-0.82%,175.6041,4801288504.16,163851
2018-01-19,178.61,179.58,177.41,178.46,32425067,-0.794,-0.45%,177.0526,5784962558.78,160571
2018-01-18,179.37,180.10,178.25,179.26,31193352,0.159,0.09%,177.8463,5595360106.99,185125
2018-01-17,176.15,179.25,175.07,179.10,34386836,2.887,1.65%,177.6875,6094934394.84,218165
2018-01-16,177.90,179.39,176.14,176.19,29565947,-0.893,-0.51%,174.8005,5248325403.37,195541
